
Processing energy_r.C...
Primary TrackID: 1 Energy: 1
TrackID: 10 HitID: 14 energy: 0
TrackID: 10 HitID: 15 energy: 0
TrackID: 10 HitID: 16 energy: 0
TrackID: 10 HitID: 17 energy: 0
TrackID: 10 HitID: 18 energy: 0
TrackID: 10 HitID: 19 energy: 0
Primary TrackID: 1 Energy: 1
TrackID: 1 HitID: 0 energy: 0
TrackID: 1 HitID: 1 energy: 0
TrackID: 1 HitID: 2 energy: 0
TrackID: 1 HitID: 3 energy: 0
TrackID: 1 HitID: 4 energy: 0
TrackID: 1 HitID: 5 energy: 0
TrackID: 1 HitID: 6 energy: 0
TrackID: 1 HitID: 7 energy: 0
TrackID: 1 HitID: 8 energy: 0
TrackID: 2 HitID: 98 energy: 0.00162851
TrackID: 2 HitID: 99 energy: 0.00384706
TrackID: 2 HitID: 100 energy: 0.0043899
TrackID: 2 HitID: 101 energy: 0.00233656
TrackID: 2 HitID: 102 energy: 0.00250177
TrackID: 2 HitID: 103 energy: 0.00179372
TrackID: 2 HitID: 104 energy: 0.00132169
TrackID: 2 HitID: 105 energy: 0.00108567
TrackID: 2 HitID: 106 energy: 0.00118008
TrackID: 2 HitID: 107 energy: 0.000283219
TrackID: 2 HitID: 108 energy: 0.000660845
TrackID: 3 HitID: 72 energy: 0.000283219
TrackID: 3 HitID: 73 energy: 0.000283219
TrackID: 3 HitID: 74 energy: 0.000259618
TrackID: 3 HitID: 75 energy: 0.000472032
TrackID: 3 HitID: 76 energy: 0.000778853
TrackID: 3 HitID: 77 energy: 0.000354024
TrackID: 3 HitID: 78 energy: 0.000259618
TrackID: 3 HitID: 79 energy: 0.000306821
TrackID: 3 HitID: 80 energy: 0.000354024
TrackID: 3 HitID: 81 energy: 0.000401227
TrackID: 3 HitID: 82 energy: 0.000354024
TrackID: 3 HitID: 83 energy: 0.000165211
TrackID: 3 HitID: 84 energy: 0.000118008
TrackID: 3 HitID: 85 energy: 0.000236016
TrackID: 3 HitID: 86 energy: 9.44064e-05
TrackID: 3 HitID: 87 energy: 9.44064e-05
TrackID: 3 HitID: 88 energy: 9.44064e-05
TrackID: 3 HitID: 89 energy: 4.72032e-05
TrackID: 3 HitID: 90 energy: 4.72032e-05
TrackID: 3 HitID: 91 energy: 2.36016e-05
TrackID: 3 HitID: 92 energy: 2.36016e-05
TrackID: 3 HitID: 93 energy: 0
TrackID: 3 HitID: 94 energy: 0
TrackID: 3 HitID: 95 energy: 0
TrackID: 3 HitID: 96 energy: 0
TrackID: 3 HitID: 97 energy: 0
TrackID: 4 HitID: 61 energy: 0
TrackID: 4 HitID: 62 energy: 2.36016e-05
TrackID: 4 HitID: 63 energy: 0
TrackID: 4 HitID: 64 energy: 2.36016e-05
TrackID: 4 HitID: 65 energy: 2.36016e-05
TrackID: 4 HitID: 66 energy: 0
TrackID: 4 HitID: 67 energy: 0
TrackID: 4 HitID: 68 energy: 0
TrackID: 4 HitID: 69 energy: 0
TrackID: 4 HitID: 70 energy: 0
TrackID: 4 HitID: 71 energy: 0
TrackID: 5 HitID: 54 energy: 0
TrackID: 5 HitID: 55 energy: 7.08048e-05
TrackID: 5 HitID: 56 energy: 7.08048e-05
TrackID: 5 HitID: 57 energy: 2.36016e-05
TrackID: 5 HitID: 58 energy: 0
TrackID: 5 HitID: 59 energy: 0
TrackID: 5 HitID: 60 energy: 0
TrackID: 6 HitID: 47 energy: 0
TrackID: 6 HitID: 48 energy: 9.44064e-05
TrackID: 6 HitID: 49 energy: 4.72032e-05
TrackID: 6 HitID: 50 energy: 2.36016e-05
TrackID: 6 HitID: 51 energy: 2.36016e-05
TrackID: 6 HitID: 52 energy: 4.72032e-05
TrackID: 6 HitID: 53 energy: 0
TrackID: 7 HitID: 36 energy: 0
TrackID: 7 HitID: 37 energy: 4.72032e-05
TrackID: 7 HitID: 38 energy: 4.72032e-05
TrackID: 7 HitID: 39 energy: 4.72032e-05
TrackID: 7 HitID: 40 energy: 2.36016e-05
TrackID: 7 HitID: 41 energy: 2.36016e-05
TrackID: 7 HitID: 42 energy: 0
TrackID: 7 HitID: 43 energy: 0
TrackID: 7 HitID: 44 energy: 0
TrackID: 7 HitID: 45 energy: 0
TrackID: 7 HitID: 46 energy: 0
TrackID: 8 HitID: 28 energy: 0
TrackID: 8 HitID: 29 energy: 0
TrackID: 8 HitID: 30 energy: 0
TrackID: 8 HitID: 31 energy: 0
TrackID: 8 HitID: 32 energy: 0
TrackID: 8 HitID: 33 energy: 0
TrackID: 8 HitID: 34 energy: 0
TrackID: 8 HitID: 35 energy: 0
TrackID: 9 HitID: 22 energy: 0
TrackID: 9 HitID: 23 energy: 0
TrackID: 9 HitID: 24 energy: 0
TrackID: 9 HitID: 25 energy: 0
TrackID: 9 HitID: 26 energy: 0
TrackID: 9 HitID: 27 energy: 0
TrackID: 10 HitID: 9 energy: 4.72032e-05
TrackID: 10 HitID: 10 energy: 0.00014161
TrackID: 10 HitID: 11 energy: 9.44064e-05
TrackID: 10 HitID: 12 energy: 4.72032e-05
TrackID: 10 HitID: 13 energy: 2.36016e-05
TrackID: 10 HitID: 14 energy: 2.36016e-05
TrackID: 10 HitID: 15 energy: 2.36016e-05
TrackID: 10 HitID: 16 energy: 2.36016e-05
TrackID: 10 HitID: 17 energy: 0
TrackID: 10 HitID: 18 energy: 0
TrackID: 10 HitID: 19 energy: 0
TrackID: 10 HitID: 20 energy: 0
TrackID: 10 HitID: 21 energy: 0
Primary TrackID: 1 Energy: 1
TrackID: 1 HitID: 0 energy: 0
TrackID: 1 HitID: 1 energy: 0
TrackID: 1 HitID: 2 energy: 0
TrackID: 1 HitID: 3 energy: 0
TrackID: 1 HitID: 4 energy: 0
TrackID: 1 HitID: 5 energy: 0
TrackID: 1 HitID: 6 energy: 0
TrackID: 1 HitID: 7 energy: 0
TrackID: 2 HitID: 79 energy: 0.00472032
TrackID: 2 HitID: 79 energy: 0.00472032
TrackID: 2 HitID: 79 energy: 0.00472032
TrackID: 2 HitID: 79 energy: 0.00261978
TrackID: 2 HitID: 80 energy: 0.00472032
TrackID: 2 HitID: 80 energy: 0.00472032
TrackID: 2 HitID: 80 energy: 0.00372905
TrackID: 2 HitID: 81 energy: 0.00472032
TrackID: 2 HitID: 81 energy: 0.00472032
TrackID: 2 HitID: 81 energy: 0.00422469
TrackID: 2 HitID: 82 energy: 0.00472032
TrackID: 2 HitID: 82 energy: 0.00472032
TrackID: 2 HitID: 82 energy: 0.00472032
TrackID: 2 HitID: 82 energy: 0.00472032
TrackID: 2 HitID: 82 energy: 0.00387066
TrackID: 2 HitID: 83 energy: 0.00472032
TrackID: 2 HitID: 83 energy: 0.00472032
TrackID: 2 HitID: 83 energy: 0.00472032
TrackID: 2 HitID: 83 energy: 0.00405948
TrackID: 2 HitID: 84 energy: 0.00472032
TrackID: 2 HitID: 84 energy: 0.00472032
TrackID: 2 HitID: 84 energy: 0.00472032
TrackID: 2 HitID: 84 energy: 0.00408308
TrackID: 2 HitID: 85 energy: 0.00472032
TrackID: 2 HitID: 85 energy: 0.00472032
TrackID: 2 HitID: 85 energy: 0.00191173
TrackID: 2 HitID: 86 energy: 0.00472032
TrackID: 2 HitID: 86 energy: 0.00420109
TrackID: 2 HitID: 87 energy: 0.00472032
TrackID: 2 HitID: 87 energy: 0.00472032
TrackID: 2 HitID: 87 energy: 0.00261978
TrackID: 2 HitID: 88 energy: 0.00472032
TrackID: 2 HitID: 88 energy: 0.00472032
TrackID: 2 HitID: 88 energy: 2.36016e-05
TrackID: 2 HitID: 89 energy: 0.00472032
TrackID: 2 HitID: 89 energy: 0.00361105
TrackID: 2 HitID: 90 energy: 0.00472032
TrackID: 2 HitID: 90 energy: 0.00271418
TrackID: 2 HitID: 91 energy: 0.00472032
TrackID: 2 HitID: 91 energy: 0.00106207
TrackID: 2 HitID: 92 energy: 0.00361105
TrackID: 2 HitID: 93 energy: 0.00472032
TrackID: 2 HitID: 93 energy: 2.36016e-05
TrackID: 2 HitID: 94 energy: 0.00472032
TrackID: 2 HitID: 94 energy: 0.000306821
TrackID: 2 HitID: 95 energy: 7.08048e-05
TrackID: 2 HitID: 96 energy: 4.72032e-05
TrackID: 2 HitID: 97 energy: 0
TrackID: 2 HitID: 98 energy: 0
TrackID: 2 HitID: 99 energy: 0.000873259
TrackID: 3 HitID: 70 energy: 0.000519235
TrackID: 3 HitID: 71 energy: 0.0029974
TrackID: 3 HitID: 72 energy: 0.000944064
TrackID: 3 HitID: 73 energy: 0.00059004
TrackID: 3 HitID: 74 energy: 0.000566439
TrackID: 3 HitID: 75 energy: 0.000212414
TrackID: 3 HitID: 76 energy: 2.36016e-05
TrackID: 3 HitID: 77 energy: 7.08048e-05
TrackID: 3 HitID: 78 energy: 0.000424829
TrackID: 4 HitID: 59 energy: 0.000377626
TrackID: 4 HitID: 60 energy: 0.0015105
TrackID: 4 HitID: 61 energy: 0.00139249
TrackID: 4 HitID: 62 energy: 0.0014633
TrackID: 4 HitID: 63 energy: 0.00115648
TrackID: 4 HitID: 64 energy: 0.000306821
TrackID: 4 HitID: 65 energy: 0.000377626
TrackID: 4 HitID: 66 energy: 0.000259618
TrackID: 4 HitID: 67 energy: 0.000165211
TrackID: 4 HitID: 68 energy: 0.000118008
TrackID: 4 HitID: 69 energy: 0.000306821
TrackID: 5 HitID: 39 energy: 0.00231296
TrackID: 5 HitID: 40 energy: 0.00472032
TrackID: 5 HitID: 40 energy: 0.00472032
TrackID: 5 HitID: 40 energy: 0.000188813
TrackID: 5 HitID: 41 energy: 0.00472032
TrackID: 5 HitID: 41 energy: 0.00342223
TrackID: 5 HitID: 42 energy: 0.00472032
TrackID: 5 HitID: 42 energy: 0.00233656
TrackID: 5 HitID: 43 energy: 0.00429549
TrackID: 5 HitID: 44 energy: 0.00472032
TrackID: 5 HitID: 44 energy: 0.0014633
TrackID: 5 HitID: 45 energy: 0.00306821
TrackID: 5 HitID: 46 energy: 0.002903
TrackID: 5 HitID: 47 energy: 0.00177012
TrackID: 5 HitID: 48 energy: 0.00127449
TrackID: 5 HitID: 49 energy: 0.00344583
TrackID: 5 HitID: 50 energy: 0.00155771
TrackID: 5 HitID: 51 energy: 0.00212414
TrackID: 5 HitID: 52 energy: 0.00134529
TrackID: 5 HitID: 53 energy: 0.000708048
TrackID: 5 HitID: 54 energy: 0.000306821
TrackID: 5 HitID: 55 energy: 0.000259618
TrackID: 5 HitID: 56 energy: 0.000354024
TrackID: 5 HitID: 57 energy: 0.000188813
TrackID: 5 HitID: 58 energy: 0.000212414
TrackID: 6 HitID: 32 energy: 0.000259618
TrackID: 6 HitID: 33 energy: 0.00127449
TrackID: 6 HitID: 34 energy: 0.000495634
TrackID: 6 HitID: 35 energy: 0.000472032
TrackID: 6 HitID: 36 energy: 0.000495634
TrackID: 6 HitID: 37 energy: 0.000424829
TrackID: 6 HitID: 38 energy: 0.000236016
TrackID: 7 HitID: 26 energy: 4.72032e-05
TrackID: 7 HitID: 27 energy: 0.000566439
TrackID: 7 HitID: 28 energy: 0.000283219
TrackID: 7 HitID: 29 energy: 0.000236016
TrackID: 7 HitID: 30 energy: 0.000165211
TrackID: 7 HitID: 31 energy: 0.000377626
TrackID: 8 HitID: 24 energy: 0
TrackID: 8 HitID: 25 energy: 0
TrackID: 9 HitID: 8 energy: 0.00073165
TrackID: 9 HitID: 9 energy: 0.0014869
TrackID: 9 HitID: 10 energy: 0.000991267
TrackID: 9 HitID: 11 energy: 0.00160491
TrackID: 9 HitID: 12 energy: 0.00118008
TrackID: 9 HitID: 13 energy: 0.00110928
TrackID: 9 HitID: 14 energy: 0.00044843
TrackID: 9 HitID: 15 energy: 0.000236016
TrackID: 9 HitID: 16 energy: 0.000236016
TrackID: 9 HitID: 17 energy: 0.000165211
TrackID: 9 HitID: 18 energy: 9.44064e-05
TrackID: 9 HitID: 19 energy: 2.36016e-05
TrackID: 9 HitID: 20 energy: 0
TrackID: 9 HitID: 21 energy: 0
TrackID: 9 HitID: 22 energy: 0
TrackID: 9 HitID: 23 energy: 0.00014161
Primary TrackID: 1 Energy: 1
TrackID: 1 HitID: 0 energy: 0
TrackID: 1 HitID: 1 energy: 0
TrackID: 2 HitID: 28 energy: 0.000236016
TrackID: 2 HitID: 29 energy: 0.0014397
TrackID: 2 HitID: 30 energy: 0.00115648
TrackID: 2 HitID: 31 energy: 0.00103847
TrackID: 2 HitID: 32 energy: 0.000684447
TrackID: 2 HitID: 33 energy: 0.000778853
TrackID: 2 HitID: 34 energy: 0.000637243
TrackID: 2 HitID: 35 energy: 0.000542837
TrackID: 2 HitID: 36 energy: 0.000495634
TrackID: 2 HitID: 37 energy: 0.000495634
TrackID: 2 HitID: 38 energy: 0.000236016
TrackID: 2 HitID: 39 energy: 0.000212414
TrackID: 2 HitID: 40 energy: 0.000306821
TrackID: 2 HitID: 41 energy: 0.000259618
TrackID: 2 HitID: 42 energy: 9.44064e-05
TrackID: 2 HitID: 43 energy: 7.08048e-05
TrackID: 2 HitID: 44 energy: 0
TrackID: 2 HitID: 45 energy: 0
TrackID: 2 HitID: 46 energy: 7.08048e-05
TrackID: 3 HitID: 2 energy: 0.000944064
TrackID: 3 HitID: 3 energy: 0.00103847
TrackID: 3 HitID: 4 energy: 0.000755251
TrackID: 3 HitID: 5 energy: 0.000944064
TrackID: 3 HitID: 6 energy: 0.00101487
TrackID: 3 HitID: 7 energy: 0.00132169
TrackID: 3 HitID: 8 energy: 0.00167571
TrackID: 3 HitID: 9 energy: 0.000920463
TrackID: 3 HitID: 10 energy: 0.000849658
TrackID: 3 HitID: 11 energy: 0.000354024
TrackID: 3 HitID: 12 energy: 0.000377626
TrackID: 3 HitID: 13 energy: 0.000708048
TrackID: 3 HitID: 14 energy: 0.000472032
TrackID: 3 HitID: 15 energy: 0.000306821
TrackID: 3 HitID: 16 energy: 0.000306821
TrackID: 3 HitID: 17 energy: 0.000330422
TrackID: 3 HitID: 18 energy: 0.000354024
TrackID: 3 HitID: 19 energy: 0.000330422
TrackID: 3 HitID: 20 energy: 0.000212414
TrackID: 3 HitID: 21 energy: 0.00014161
TrackID: 3 HitID: 22 energy: 0.00014161
TrackID: 3 HitID: 23 energy: 9.44064e-05
TrackID: 3 HitID: 24 energy: 9.44064e-05
TrackID: 3 HitID: 25 energy: 2.36016e-05
TrackID: 3 HitID: 26 energy: 2.36016e-05
TrackID: 3 HitID: 27 energy: 2.36016e-05
Primary TrackID: 1 Energy: 1
TrackID: 1 HitID: 0 energy: 0
TrackID: 1 HitID: 1 energy: 0
TrackID: 1 HitID: 2 energy: 0
TrackID: 1 HitID: 3 energy: 0
TrackID: 1 HitID: 4 energy: 0
TrackID: 1 HitID: 5 energy: 0
TrackID: 1 HitID: 6 energy: 0
TrackID: 1 HitID: 7 energy: 0
TrackID: 1 HitID: 8 energy: 0
TrackID: 2 HitID: 90 energy: 0.00472032
TrackID: 2 HitID: 90 energy: 0.00472032
TrackID: 2 HitID: 90 energy: 0.00472032
TrackID: 2 HitID: 90 energy: 0.00195893
TrackID: 2 HitID: 91 energy: 0.00472032
TrackID: 2 HitID: 91 energy: 0.00472032
TrackID: 2 HitID: 91 energy: 0.00472032
TrackID: 2 HitID: 91 energy: 0.00472032
TrackID: 2 HitID: 91 energy: 0.00472032
TrackID: 2 HitID: 91 energy: 0.00472032
TrackID: 2 HitID: 91 energy: 0.00351664
TrackID: 2 HitID: 92 energy: 0.00472032
TrackID: 2 HitID: 92 energy: 0.00472032
TrackID: 2 HitID: 92 energy: 0.00472032
TrackID: 2 HitID: 92 energy: 0.00472032
TrackID: 2 HitID: 92 energy: 0.00221855
TrackID: 2 HitID: 93 energy: 0.00472032
TrackID: 2 HitID: 93 energy: 0.00472032
TrackID: 2 HitID: 93 energy: 0.00363465
TrackID: 2 HitID: 94 energy: 0.00472032
TrackID: 2 HitID: 94 energy: 0.00472032
TrackID: 2 HitID: 94 energy: 0.00472032
TrackID: 2 HitID: 94 energy: 0.00472032
TrackID: 2 HitID: 94 energy: 0.00472032
TrackID: 2 HitID: 94 energy: 0.00472032
TrackID: 2 HitID: 94 energy: 0.00472032
TrackID: 2 HitID: 94 energy: 0.00472032
TrackID: 2 HitID: 94 energy: 0.00472032
TrackID: 2 HitID: 94 energy: 0.00212414
TrackID: 2 HitID: 95 energy: 0.00472032
TrackID: 2 HitID: 95 energy: 0.00472032
TrackID: 2 HitID: 95 energy: 0.00472032
TrackID: 2 HitID: 95 energy: 0.00472032
TrackID: 2 HitID: 95 energy: 0.00472032
TrackID: 2 HitID: 95 energy: 0.00382346
TrackID: 2 HitID: 96 energy: 0.00472032
TrackID: 2 HitID: 96 energy: 0.00472032
TrackID: 2 HitID: 96 energy: 0.00472032
TrackID: 2 HitID: 96 energy: 0.00328062
TrackID: 2 HitID: 97 energy: 0.00472032
TrackID: 2 HitID: 97 energy: 0.00472032
TrackID: 2 HitID: 97 energy: 0.00472032
TrackID: 2 HitID: 97 energy: 0.00217135
TrackID: 2 HitID: 98 energy: 0.00472032
TrackID: 2 HitID: 98 energy: 0.00472032
TrackID: 2 HitID: 98 energy: 0.00472032
TrackID: 2 HitID: 98 energy: 0.00462591
TrackID: 2 HitID: 99 energy: 0.00472032
TrackID: 2 HitID: 99 energy: 0.00472032
TrackID: 2 HitID: 99 energy: 0.00391787
TrackID: 2 HitID: 100 energy: 0.00472032
TrackID: 2 HitID: 100 energy: 0.00358744
TrackID: 2 HitID: 101 energy: 0.00472032
TrackID: 2 HitID: 101 energy: 0.00384706
TrackID: 2 HitID: 102 energy: 0.00472032
TrackID: 2 HitID: 102 energy: 0.00405948
TrackID: 2 HitID: 103 energy: 0.00472032
TrackID: 2 HitID: 103 energy: 0.00238376
TrackID: 2 HitID: 104 energy: 0.00472032
TrackID: 2 HitID: 104 energy: 0.000991267
TrackID: 2 HitID: 105 energy: 0.00472032
TrackID: 2 HitID: 105 energy: 0.00349304
TrackID: 2 HitID: 106 energy: 0.00472032
TrackID: 2 HitID: 106 energy: 0.000802455
TrackID: 2 HitID: 107 energy: 0.00280859
TrackID: 2 HitID: 108 energy: 0.000849658
TrackID: 2 HitID: 109 energy: 0.00181732
TrackID: 2 HitID: 110 energy: 0.0015341
TrackID: 2 HitID: 111 energy: 0.000826056
TrackID: 2 HitID: 112 energy: 0.000944064
TrackID: 2 HitID: 113 energy: 0.000401227
TrackID: 2 HitID: 114 energy: 9.44064e-05
TrackID: 2 HitID: 115 energy: 2.36016e-05
TrackID: 2 HitID: 116 energy: 0
TrackID: 2 HitID: 117 energy: 0
TrackID: 2 HitID: 118 energy: 0
TrackID: 2 HitID: 119 energy: 0
TrackID: 2 HitID: 120 energy: 0.000944064
TrackID: 3 HitID: 77 energy: 0.000896861
TrackID: 3 HitID: 78 energy: 0.00472032
TrackID: 3 HitID: 78 energy: 0.00238376
TrackID: 3 HitID: 79 energy: 0.00422469
TrackID: 3 HitID: 80 energy: 0.00313901
TrackID: 3 HitID: 81 energy: 0.00413028
TrackID: 3 HitID: 82 energy: 0.00271418
TrackID: 3 HitID: 83 energy: 0.00177012
TrackID: 3 HitID: 84 energy: 0.00129809
TrackID: 3 HitID: 85 energy: 0.000613642
TrackID: 3 HitID: 86 energy: 0.00110928
TrackID: 3 HitID: 87 energy: 0.000826056
TrackID: 3 HitID: 88 energy: 0.000684447
TrackID: 3 HitID: 89 energy: 0.000377626
TrackID: 4 HitID: 60 energy: 0.00113288
TrackID: 4 HitID: 61 energy: 0.00472032
TrackID: 4 HitID: 61 energy: 0.00172292
TrackID: 4 HitID: 62 energy: 0.00410668
TrackID: 4 HitID: 63 energy: 0.00233656
TrackID: 4 HitID: 64 energy: 0.00394147
TrackID: 4 HitID: 65 energy: 0.00177012
TrackID: 4 HitID: 66 energy: 0.00165211
TrackID: 4 HitID: 67 energy: 0.00134529
TrackID: 4 HitID: 68 energy: 0.00127449
TrackID: 4 HitID: 69 energy: 0.000401227
TrackID: 4 HitID: 70 energy: 0.000802455
TrackID: 4 HitID: 71 energy: 0.000212414
TrackID: 4 HitID: 72 energy: 0.000236016
TrackID: 4 HitID: 73 energy: 0.000118008
TrackID: 4 HitID: 74 energy: 4.72032e-05
TrackID: 4 HitID: 75 energy: 9.44064e-05
TrackID: 4 HitID: 76 energy: 0.000424829
TrackID: 5 HitID: 49 energy: 7.08048e-05
TrackID: 5 HitID: 50 energy: 0.000660845
TrackID: 5 HitID: 51 energy: 0.000472032
TrackID: 5 HitID: 52 energy: 0.000283219
TrackID: 5 HitID: 53 energy: 0.000283219
TrackID: 5 HitID: 54 energy: 0.000283219
TrackID: 5 HitID: 55 energy: 0.000118008
TrackID: 5 HitID: 56 energy: 9.44064e-05
TrackID: 5 HitID: 57 energy: 0.00014161
TrackID: 5 HitID: 58 energy: 0.000165211
TrackID: 5 HitID: 59 energy: 0
TrackID: 6 HitID: 37 energy: 0.000330422
TrackID: 6 HitID: 38 energy: 0.000519235
TrackID: 6 HitID: 39 energy: 0.000330422
TrackID: 6 HitID: 40 energy: 0.000354024
TrackID: 6 HitID: 41 energy: 0.000354024
TrackID: 6 HitID: 42 energy: 0.000118008
TrackID: 6 HitID: 43 energy: 0.000165211
TrackID: 6 HitID: 44 energy: 7.08048e-05
TrackID: 6 HitID: 45 energy: 2.36016e-05
TrackID: 6 HitID: 46 energy: 0
TrackID: 6 HitID: 47 energy: 0
TrackID: 6 HitID: 48 energy: 9.44064e-05
TrackID: 7 HitID: 35 energy: 0
TrackID: 7 HitID: 36 energy: 2.36016e-05
TrackID: 8 HitID: 27 energy: 0
TrackID: 8 HitID: 28 energy: 0
TrackID: 8 HitID: 29 energy: 0
TrackID: 8 HitID: 30 energy: 0
TrackID: 8 HitID: 31 energy: 0
TrackID: 8 HitID: 32 energy: 0
TrackID: 8 HitID: 33 energy: 0
TrackID: 8 HitID: 34 energy: 7.08048e-05
TrackID: 9 HitID: 18 energy: 4.72032e-05
TrackID: 9 HitID: 19 energy: 0.000188813
TrackID: 9 HitID: 20 energy: 0.00014161
TrackID: 9 HitID: 21 energy: 0.000118008
TrackID: 9 HitID: 22 energy: 9.44064e-05
TrackID: 9 HitID: 23 energy: 9.44064e-05
TrackID: 9 HitID: 24 energy: 7.08048e-05
TrackID: 9 HitID: 25 energy: 4.72032e-05
TrackID: 9 HitID: 26 energy: 7.08048e-05
TrackID: 10 HitID: 9 energy: 0.000259618
TrackID: 10 HitID: 10 energy: 0.000472032
TrackID: 10 HitID: 11 energy: 0.000802455
TrackID: 10 HitID: 12 energy: 0.00014161
TrackID: 10 HitID: 13 energy: 9.44064e-05
TrackID: 10 HitID: 14 energy: 7.08048e-05
TrackID: 10 HitID: 15 energy: 4.72032e-05
TrackID: 10 HitID: 16 energy: 2.36016e-05
TrackID: 10 HitID: 17 energy: 4.72032e-05
Primary TrackID: 1 Energy: 1
TrackID: 1 HitID: 0 energy: 0
TrackID: 1 HitID: 1 energy: 0
TrackID: 1 HitID: 2 energy: 0
TrackID: 1 HitID: 3 energy: 0
TrackID: 1 HitID: 4 energy: 0
TrackID: 2 HitID: 71 energy: 0.00202974
TrackID: 2 HitID: 72 energy: 0.0044135
TrackID: 2 HitID: 73 energy: 0.00472032
TrackID: 2 HitID: 73 energy: 0.000967666
TrackID: 2 HitID: 74 energy: 0.00403587
TrackID: 2 HitID: 75 energy: 0.00472032
TrackID: 2 HitID: 75 energy: 0.000967666
TrackID: 2 HitID: 76 energy: 0.00394147
TrackID: 2 HitID: 77 energy: 0.002903
TrackID: 2 HitID: 78 energy: 0.00273779
TrackID: 2 HitID: 79 energy: 0.00134529
TrackID: 2 HitID: 80 energy: 0.00186453
TrackID: 2 HitID: 81 energy: 0.00106207
TrackID: 2 HitID: 82 energy: 0.000920463
TrackID: 2 HitID: 83 energy: 0.000472032
TrackID: 2 HitID: 84 energy: 0.000660845
TrackID: 2 HitID: 85 energy: 0.000330422
TrackID: 2 HitID: 86 energy: 0.000259618
TrackID: 2 HitID: 87 energy: 0.000118008
TrackID: 2 HitID: 88 energy: 2.36016e-05
TrackID: 2 HitID: 89 energy: 0
TrackID: 2 HitID: 90 energy: 0.000330422
TrackID: 3 HitID: 48 energy: 0.00372905
TrackID: 3 HitID: 49 energy: 0.00408308
TrackID: 3 HitID: 50 energy: 0.00472032
TrackID: 3 HitID: 50 energy: 0.00174652
TrackID: 3 HitID: 51 energy: 0.00472032
TrackID: 3 HitID: 51 energy: 0.00356384
TrackID: 3 HitID: 52 energy: 0.00179372
TrackID: 3 HitID: 53 energy: 0.00110928
TrackID: 3 HitID: 54 energy: 0.00155771
TrackID: 3 HitID: 55 energy: 0.00136889
TrackID: 3 HitID: 56 energy: 0.00115648
TrackID: 3 HitID: 57 energy: 0.000873259
TrackID: 3 HitID: 58 energy: 0.000802455
TrackID: 3 HitID: 59 energy: 0.000519235
TrackID: 3 HitID: 60 energy: 0.00044843
TrackID: 3 HitID: 61 energy: 0.000330422
TrackID: 3 HitID: 62 energy: 0.000259618
TrackID: 3 HitID: 63 energy: 0.000212414
TrackID: 3 HitID: 64 energy: 0.000188813
TrackID: 3 HitID: 65 energy: 0.000165211
TrackID: 3 HitID: 66 energy: 0
TrackID: 3 HitID: 67 energy: 0
TrackID: 3 HitID: 68 energy: 0
TrackID: 3 HitID: 69 energy: 0
TrackID: 3 HitID: 70 energy: 0.000188813
TrackID: 4 HitID: 32 energy: 0.000330422
TrackID: 4 HitID: 33 energy: 0.000660845
TrackID: 4 HitID: 34 energy: 0.00073165
TrackID: 4 HitID: 35 energy: 0.00101487
TrackID: 4 HitID: 36 energy: 0.00073165
TrackID: 4 HitID: 37 energy: 0.000377626
TrackID: 4 HitID: 38 energy: 0.000354024
TrackID: 4 HitID: 39 energy: 0.000236016
TrackID: 4 HitID: 40 energy: 0.000165211
TrackID: 4 HitID: 41 energy: 9.44064e-05
TrackID: 4 HitID: 42 energy: 7.08048e-05
TrackID: 4 HitID: 43 energy: 0
TrackID: 4 HitID: 44 energy: 0
TrackID: 4 HitID: 45 energy: 0
TrackID: 4 HitID: 46 energy: 0
TrackID: 4 HitID: 47 energy: 9.44064e-05
TrackID: 5 HitID: 17 energy: 0.00014161
TrackID: 5 HitID: 18 energy: 0.0014633
TrackID: 5 HitID: 19 energy: 0.000424829
TrackID: 5 HitID: 20 energy: 0.000118008
TrackID: 5 HitID: 21 energy: 0.000165211
TrackID: 5 HitID: 22 energy: 9.44064e-05
TrackID: 5 HitID: 23 energy: 9.44064e-05
TrackID: 5 HitID: 24 energy: 4.72032e-05
TrackID: 5 HitID: 25 energy: 2.36016e-05
TrackID: 5 HitID: 26 energy: 2.36016e-05
TrackID: 5 HitID: 27 energy: 0
TrackID: 5 HitID: 28 energy: 0
TrackID: 5 HitID: 29 energy: 0
TrackID: 5 HitID: 30 energy: 0
TrackID: 5 HitID: 31 energy: 2.36016e-05
TrackID: 6 HitID: 5 energy: 0.000401227
TrackID: 6 HitID: 6 energy: 0.00207694
TrackID: 6 HitID: 7 energy: 0.000283219
TrackID: 6 HitID: 8 energy: 0.000330422
TrackID: 6 HitID: 9 energy: 0.000118008
TrackID: 6 HitID: 10 energy: 0.000188813
TrackID: 6 HitID: 11 energy: 0.000118008
TrackID: 6 HitID: 12 energy: 4.72032e-05
TrackID: 6 HitID: 13 energy: 4.72032e-05
TrackID: 6 HitID: 14 energy: 7.08048e-05
TrackID: 6 HitID: 15 energy: 0
TrackID: 6 HitID: 16 energy: 4.72032e-05
Primary TrackID: 1 Energy: 1
Primary TrackID: 1 Energy: 1
TrackID: 1 HitID: 0 energy: 0
TrackID: 2 HitID: 1 energy: 0.00472032
TrackID: 2 HitID: 1 energy: 0.00472032
TrackID: 2 HitID: 1 energy: 0.00266698
TrackID: 2 HitID: 2 energy: 0.00472032
